===== batch learning =====
[166] error:2.999993, param:[10.633006 -31.333533], count: 1
[167] error:2.999796, param:[-11.614137 26.906213], count: 1
[168] error:3.000000, param:[-49.423107 8.993638], count: 1
[169] error:3.000000, param:[-43.622008 -39.774974], count: 1
[170] error:2.998799, param:[22.120900 -19.428447], count: 1
[171] error:3.000000, param:[-26.300754 -44.857403], count: 1
[172] error:3.000000, param:[47.193410 -2.920069], count: 1
[173] error:3.000000, param:[-2.312391 -45.198188], count: 1
[174] error:3.000000, param:[11.690576 29.519182], count: 1
[175] error:3.000000, param:[-18.135331 45.191031], count: 1
[176] error:0.786060, param:[11.141154 -17.035914], count: 10
[177] error:3.000000, param:[18.472524 12.739578], count: 1
[178] error:3.000000, param:[46.078635 44.532295], count: 1
[179] error:1.356936, param:[18.521665 -30.516458], count: 3
[180] error:3.000000, param:[-22.914385 -37.675800], count: 1
[181] error:2.790790, param:[36.351981 -42.136261], count: 1
[182] error:3.000000, param:[-30.969468 -2.829420], count: 1
[183] error:2.999999, param:[2.613374 12.417257], count: 1
[184] error:3.000000, param:[-10.221041 -19.139202], count: 1
[185] error:2.999999, param:[-3.182679 20.256614], count: 1
[186] error:3.000000, param:[14.635105 -40.926359], count: 1
[187] error:3.000000, param:[-1.126695 -47.210104], count: 1
[188] error:2.999947, param:[-13.031625 30.394674], count: 1
