===== batch learning =====
[243] error:3.000000, param:[-26.106540 -46.508256], count: 1
[244] error:3.000000, param:[13.677421 7.780018], count: 1
[245] error:3.000000, param:[-16.873045 44.829260], count: 1
[246] error:3.000000, param:[34.520956 8.756682], count: 1
[247] error:3.000000, param:[-26.488792 -41.574513], count: 1
[248] error:3.000000, param:[16.856325 32.044795], count: 1
[249] error:3.000000, param:[-3.487374 -16.124163], count: 1
[250] error:3.000000, param:[16.731397 30.633350], count: 1
[251] error:3.000000, param:[-5.520018 27.884785], count: 1
[252] error:3.000000, param:[30.999380 -12.876364], count: 1
[253] error:0.734925, param:[10.851353 -16.004859], count: 2528
[254] error:3.000000, param:[47.951528 12.440218], count: 1
[255] error:3.000000, param:[-39.608867 -3.964852], count: 1
[256] error:3.000000, param:[1.255237 26.452306], count: 1
[257] error:3.000000, param:[-35.966048 -15.552031], count: 1
[258] error:3.000000, param:[-26.552641 -49.041182], count: 1
[259] error:3.000000, param:[-30.924010 -17.832696], count: 1
[260] error:3.000000, param:[42.878629 44.157253], count: 1
[261] error:3.000000, param:[-23.874601 -38.423617], count: 1
[262] error:3.000000, param:[-7.843233 -43.537669], count: 1
[263] error:3.000000, param:[-12.380202 -43.378775], count: 1
[264] error:2.999847, param:[-18.156124 16.552345], count: 1
[265] error:3.000000, param:[20.765189 7.155437], count: 1
[266] error:3.000000, param:[-5.604529 -19.751161], count: 1
[267] error:0.734926, param:[10.851309 -16.004793], count: 2432
[268] error:3.000000, param:[-27.230220 -46.130376], count: 1
[269] error:3.000000, param:[46.192140 -10.663290], count: 1
[270] error:3.000000, param:[-33.688223 27.332285], count: 1
[271] error:0.734925, param:[10.851324 -16.004815], count: 2167
[272] error:0.734927, param:[11.109070 -16.386804], count: 6277
[273] error:0.734927, param:[11.108964 -16.386648], count: 7054
[274] error:3.000000, param:[8.105364 7.191693], count: 1
[275] error:0.734927, param:[11.109104 -16.386854], count: 7067
[276] error:3.000000, param:[-31.844722 -25.215577], count: 1
[277] error:3.000000, param:[22.735205 41.410285], count: 1
[278] error:3.000000, param:[-23.932063 18.492545], count: 1
[279] error:3.000000, param:[44.648393 49.002493], count: 1
[280] error:3.000000, param:[46.943013 -34.248309], count: 1
[281] error:3.000000, param:[-1.298116 -29.089776], count: 1
[282] error:3.000000, param:[-28.570856 -4.579639], count: 1
[283] error:2.999991, param:[39.216543 -35.300750], count: 1
[284] error:2.999999, param:[42.198785 -36.889422], count: 1
[285] error:3.000000, param:[10.023280 5.143150], count: 1
[286] error:0.734927, param:[11.109028 -16.386743], count: 3648
[287] error:0.734927, param:[11.109021 -16.386732], count: 3083
[288] error:3.000000, param:[17.913149 10.449838], count: 1
[289] error:3.000000, param:[15.949356 47.830657], count: 1
[290] error:3.000000, param:[-19.196101 -14.178532], count: 1
[291] error:3.000000, param:[0.193648 44.355284], count: 1
[292] error:3.000000, param:[48.470991 -35.080398], count: 1
[293] error:3.000000, param:[40.836389 -18.205027], count: 1
[294] error:2.999986, param:[-22.588113 23.270805], count: 815
[295] error:0.734925, param:[10.851314 -16.004801], count: 8122
[296] error:3.000000, param:[-48.344267 -17.758930], count: 1
[297] error:0.734925, param:[10.851399 -16.004926], count: 2563
[298] error:3.000000, param:[-39.304909 -41.834087], count: 1
[299] error:3.000000, param:[-33.104401 -44.629571], count: 1
[300] error:3.000000, param:[14.779550 46.447453], count: 1
========== result ==========
minimum error: 0.734925
ideal param:   [10.851399 -16.004926]
time per trial:0.113508[s]

===== online learning =====
[001] error:2.997067, param:[17.917342 -37.689702], count: 2
[002] error:2.999276, param:[-12.144681 9.417009], count: 1
[003] error:0.801266, param:[18.633593 -27.557326], count: 11
[004] error:2.999997, param:[33.584136 -27.455387], count: 1
[005] error:3.000000, param:[-44.208122 23.080511], count: 1
[006] error:3.000000, param:[26.148130 8.737632], count: 1
[007] error:3.000000, param:[44.367743 47.368600], count: 1
[008] error:3.000000, param:[-16.329027 -8.612630], count: 1
[009] error:2.999998, param:[19.084362 -47.217321], count: 1
[010] error:2.999996, param:[-10.393742 1.545572], count: 1
[011] error:3.000000, param:[-42.914543 -12.723365], count: 1
[012] error:3.000000, param:[-14.819325 -45.122498], count: 1
[013] error:3.000000, param:[6.283187 17.548759], count: 1
[014] error:3.000000, param:[41.226818 13.414552], count: 1
[015] error:3.000000, param:[39.580158 31.407742], count: 1
[016] error:3.000000, param:[-24.095654 -15.366487], count: 1
[017] error:3.000025, param:[-24.921771 47.692773], count: 1
[018] error:3.000000, param:[36.819054 2.894914], count: 1
[019] error:3.000000, param:[-42.547588 -12.491372], count: 1
[020] error:3.000000, param:[10.789048 -39.981382], count: 1
[021] error:2.999108, param:[24.958166 -22.594996], count: 1
[022] error:3.000000, param:[16.909719 -46.851146], count: 1
[023] error:3.000000, param:[7.346471 -29.339923], count: 1
[024] error:3.000000, param:[-21.717922 -3.335368], count: 1
[025] error:0.744005, param:[13.245744 -19.553282], count: 5797
[026] error:3.000000, param:[-43.336439 -6.430169], count: 1
[027] error:3.000000, param:[8.431057 39.720566], count: 1
[028] error:0.743479, param:[13.172440 -19.443643], count: 5273
[029] error:1.706630, param:[33.753719 -43.079196], count: 1
[030] error:3.000000, param:[40.154518 -11.605580], count: 1
[031] error:3.000000, param:[1.869297 31.947464], count: 1
[032] error:3.000000, param:[29.012940 20.049837], count: 1
[033] error:2.969955, param:[11.267665 -9.261731], count: 1
[034] error:3.000000, param:[33.080133 -23.782211], count: 1
[035] error:3.000000, param:[-16.611862 -33.954842], count: 1
[036] error:3.000000, param:[-28.819353 3.138406], count: 1
[037] error:3.000000, param:[-11.037954 -10.209711], count: 1
[038] error:3.000000, param:[32.907159 -9.360746], count: 1
[039] error:3.000000, param:[48.490193 -31.263573], count: 1
[040] error:3.000000, param:[-43.164235 -29.693699], count: 1
[041] error:3.000000, param:[-48.882580 36.189707], count: 1
[042] error:3.000000, param:[-6.771244 47.231246], count: 1
[043] error:3.003179, param:[-20.486345 38.116379], count: 13
[044] error:2.999936, param:[-13.801594 9.361438], count: 1
[045] error:3.000000, param:[-3.433707 -14.673570], count: 1
[046] error:3.000000, param:[44.445401 -28.025131], count: 1
[047] error:3.000000, param:[11.237220 44.606854], count: 1
[048] error:3.000000, param:[-11.877527 -5.008985], count: 1
[049] error:3.000665, param:[-18.544781 19.641779], count: 1
[050] error:3.000000, param:[20.762573 36.312534], count: 1
[051] error:3.000000, param:[1.080716 28.257077], count: 1
[052] error:3.000000, param:[-36.282115 -8.236472], count: 1
[053] error:3.000000, param:[15.649127 17.960393], count: 1
