===== batch learning =====
[036] error:3.000000, param:[-6.678365 -40.938796], count: 1
[037] error:3.000000, param:[-15.618199 -27.552628], count: 1
[038] error:3.000000, param:[32.334955 8.314661], count: 1
[039] error:2.747677, param:[19.860156 -36.388484], count: 2
[040] error:3.000000, param:[41.429053 -7.731381], count: 1
[041] error:3.000000, param:[41.024727 -7.650543], count: 1
[042] error:3.000000, param:[48.868729 4.300546], count: 1
[043] error:3.000000, param:[39.296341 -27.082838], count: 1
[044] error:2.753223, param:[37.942251 -44.287065], count: 1
[045] error:0.747060, param:[8.856949 -13.052130], count: 2613
[046] error:3.000000, param:[4.768940 25.731291], count: 1
[047] error:0.735990, param:[10.292052 -15.177205], count: 5878
[048] error:3.000001, param:[-44.937778 47.395919], count: 1
[049] error:3.000000, param:[47.796118 -40.505662], count: 1
[050] error:3.000000, param:[-2.156492 -21.120970], count: 1
[051] error:3.000000, param:[-38.408039 -32.506816], count: 1
[052] error:3.000000, param:[43.747317 18.868379], count: 1
[053] error:2.999992, param:[-10.301910 2.226333], count: 1
[054] error:3.000000, param:[-11.588040 -24.501127], count: 1
[055] error:3.000000, param:[25.236382 47.997192], count: 1
[056] error:3.000000, param:[42.412627 48.944714], count: 1
[057] error:2.999974, param:[7.785845 -25.168254], count: 1
[058] error:1.144150, param:[2.233166 -3.253054], count: 733
[059] error:2.999961, param:[17.967756 -42.109265], count: 1
[060] error:3.000000, param:[-27.515241 -4.911529], count: 1
[061] error:3.000000, param:[-48.344551 -14.925900], count: 1
[062] error:3.000000, param:[-8.626218 -21.913510], count: 1
[063] error:3.000000, param:[46.740773 -0.781540], count: 1
[064] error:3.000000, param:[13.076639 27.878149], count: 1
[065] error:0.750651, param:[8.595797 -12.667434], count: 2552
[066] error:3.000000, param:[-6.384527 40.428131], count: 1
[067] error:3.000000, param:[-14.541935 38.007254], count: 1
[068] error:2.999801, param:[15.334645 -35.949407], count: 1
[069] error:3.000000, param:[-41.547360 22.308852], count: 1
[070] error:3.000000, param:[14.488655 31.560108], count: 1
[071] error:3.000000, param:[25.936996 20.998214], count: 1
[072] error:1.090587, param:[35.967892 -48.752755], count: 1
[073] error:3.000000, param:[-8.981492 -36.803112], count: 1
[074] error:3.000000, param:[-37.986342 -14.065312], count: 1
[075] error:3.000000, param:[5.155782 14.899750], count: 1
[076] error:3.000000, param:[48.434265 33.961774], count: 1
[077] error:2.999999, param:[-23.231009 18.747246], count: 1
[078] error:3.019744, param:[-14.729027 16.545133], count: 41
[079] error:0.751233, param:[14.135653 -20.876281], count: 137
